group,earliest_year,earliest_income,latest_year,latest_income,total_growth_pct,cagr_pct,avg_yoy_pct,years_of_data
Argentinean,2008,54163,2024,101811,88.0,4.02,4.8,15
Mexican,2008,40647,2024,74008,82.1,3.82,4.4,15
Dominican,2008,34604,2024,61221,76.9,3.63,4.2,15
Salvadoran,2008,43490,2024,76821,76.6,3.62,4.2,15
Hispanic or Latino (any race),2008,41470,2024,72574,75.0,3.56,4.1,15
Panamanian,2008,47827,2024,82020,71.5,3.43,4.3,15
Costa Rican,2008,48307,2024,82059,69.9,3.37,4.3,15
"Asian alone, not Hispanic or Latino",2008,70219,2024,117894,67.9,3.29,3.8,15
Cuban,2008,42724,2024,71085,66.4,3.23,3.8,15
Puerto Rican,2008,39039,2024,64509,65.2,3.19,3.7,15
Ecuadorian,2008,50665,2024,82828,63.5,3.12,3.7,15
Brazilian,2008,50900,2024,83089,63.2,3.11,3.7,15
Peruvian,2008,50901,2024,82146,61.4,3.04,3.5,15
Colombian,2008,49384,2024,79371,60.7,3.01,3.5,15
"Black or African American alone, non-Hispanic",2008,35435,2024,56669,59.9,2.98,3.5,15
Spaniard,2008,54526,2024,87034,59.6,2.97,3.5,15
Honduran,2008,36922,2024,58749,59.1,2.95,3.5,15
Guatemalan,2008,41225,2024,65369,58.6,2.92,3.5,15
Total US population,2008,52029,2024,81604,56.8,2.85,3.3,15
"White alone, not Hispanic or Latino",2008,56826,2024,87572,54.1,2.74,3.2,15
Nicaraguan,2008,48945,2024,72423,48.0,2.48,3.0,15
"AIAN alone, not Hispanic or Latino",2008,37398,2024,54485,45.7,2.38,2.8,15
Chilean,2008,60463,2024,87061,44.0,2.3,3.1,15
"NHPI alone, not Hispanic or Latino",2008,60335,2024,85674,42.0,2.22,2.7,15
Venezuelan,2008,53673,2024,74510,38.8,2.07,2.7,15
