group,total_employed,"Agriculture, forestry, fishing, hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance, insurance, real estate, and leasing","Professional, scientific, management, and admin services","Educational services, health care, and social assistance","Arts, entertainment, recreation, accommodation, and food",Other services (except public administration),Public administration
Total US population,167292666,1.5,6.9,9.6,1.9,10.6,5.9,1.8,6.5,12.9,23.8,8.9,4.8,4.7
"White alone, not Hispanic or Latino",95858520,1.6,6.8,10.0,2.1,10.6,5.0,1.9,7.2,13.1,24.2,7.9,4.8,4.8
"Black or African American alone, non-Hispanic",18668896,0.4,2.9,8.2,1.3,11.0,9.7,1.6,5.8,10.5,29.0,8.5,4.1,6.8
"Asian alone, not Hispanic or Latino",11424672,0.4,1.9,10.9,1.8,9.1,4.8,2.7,7.7,17.7,25.6,8.8,5.2,3.4
"AIAN alone, not Hispanic or Latino",711943,2.6,6.9,7.8,1.3,12.0,5.8,1.1,3.7,7.5,25.0,11.9,4.4,10.0
"NHPI alone, not Hispanic or Latino",278989,0.7,6.8,10.9,2.3,11.2,9.9,0.9,4.3,9.6,22.2,11.1,4.5,5.6
Hispanic or Latino (any race),32884864,2.3,11.6,9.1,2.1,10.9,6.7,1.3,4.8,11.8,19.0,11.7,5.1,3.6
Mexican,18644876,3.3,12.3,9.8,2.1,11.3,6.3,1.1,4.3,10.8,18.3,11.9,4.8,3.6
Puerto Rican,2742450,0.5,5.6,8.7,2.1,11.9,7.4,1.7,6.3,11.5,24.4,10.1,4.7,5.1
Cuban,1547320,0.5,9.2,7.5,2.3,10.4,10.3,1.7,6.0,12.2,22.5,9.0,4.9,3.4
Dominican,1185838,0.4,5.7,7.9,2.2,12.0,10.3,1.3,5.6,11.1,24.1,10.0,5.6,3.7
Costa Rican,111971,0.7,9.6,7.7,1.5,12.0,4.9,1.6,5.6,15.2,22.2,10.8,5.6,2.6
Guatemalan,1090253,2.3,21.7,9.4,2.0,8.5,4.6,1.0,2.7,14.9,10.6,14.8,5.9,1.5
Honduran,687688,0.9,28.0,7.1,1.8,7.5,5.3,0.5,3.0,14.2,11.0,12.7,6.2,1.8
Nicaraguan,331121,1.2,16.2,8.5,2.5,9.9,6.5,1.2,5.3,12.5,15.6,11.1,6.6,2.8
Panamanian,126105,0.9,4.8,7.2,1.1,9.2,6.9,2.8,7.8,15.5,23.3,8.6,4.1,7.9
Salvadoran,1438749,1.2,15.2,8.4,2.2,10.5,6.3,0.9,3.8,13.9,15.8,13.7,5.9,2.3
Argentinean,191802,0.9,6.5,6.9,1.8,7.7,5.0,2.1,7.9,17.6,21.5,11.3,7.1,3.8
Chilean,116917,0.3,7.3,8.7,1.4,7.3,5.5,3.0,5.3,17.1,24.9,10.3,4.9,4.0
Colombian,977609,0.6,8.0,8.7,2.2,9.0,7.2,1.8,6.7,15.0,20.2,11.5,6.1,3.0
Ecuadorian,545645,0.5,15.3,7.8,2.2,9.6,6.6,1.3,5.1,12.8,17.3,12.6,6.1,2.6
Peruvian,456736,0.9,6.5,7.0,2.4,10.2,6.2,1.9,6.8,14.3,22.2,13.3,4.6,3.5
Venezuelan,667080,0.8,10.2,9.3,2.8,10.0,11.3,1.4,6.3,14.4,13.2,13.9,5.3,1.2
Spaniard,481576,1.3,5.9,7.9,1.9,9.6,5.0,2.3,7.0,14.9,25.1,9.2,4.2,5.6
Brazilian,327240,0.7,15.0,6.6,1.5,7.4,5.9,1.4,6.0,20.7,16.3,8.5,8.2,1.7
