state,zcta,mexican_pct,mexican_pop,total_pop
Alabama,36115,20.8,231,1112
Alaska,99505,13.1,713,5425
Arizona,85626,100.0,1211,1211
Arkansas,71973,50.4,635,1259
California,93239,98.5,1329,1349
Colorado,80623,68.2,673,987
Connecticut,06519,15.2,2346,15426
Delaware,19805,9.6,3874,40315
District of Columbia,20010,7.7,2418,31591
Florida,33930,76.4,808,1058
Georgia,31623,41.8,223,533
Hawaii,96863,16.6,405,2436
Idaho,83210,49.8,1825,3661
Illinois,60165,84.8,3819,4504
Indiana,46327,53.6,5782,10797
Iowa,52738,34.4,1167,3389
Kansas,66105,60.3,1440,2388
Kentucky,40025,15.2,99,652
Louisiana,71356,44.8,262,585
Maine,04691,6.6,35,527
Maryland,20737,27.2,6797,24987
Massachusetts,02639,15.6,529,3387
Michigan,48209,58.5,16095,27534
Minnesota,56157,25.9,218,843
Mississippi,38744,34.6,176,509
Missouri,64125,50.3,1371,2723
Montana,59758,36.2,760,2097
Nebraska,68107,52.9,16396,30993
Nevada,89825,81.8,1169,1429
New Hampshire,03448,7.2,52,719
New Jersey,07055,31.0,21583,69651
New Mexico,88024,100.0,546,546
New York,12406,36.6,223,609
North Carolina,28519,37.5,200,534
North Dakota,58243,28.2,159,563
Ohio,43605,17.0,4147,24432
Oklahoma,73108,59.3,9037,15239
Oregon,97818,59.7,3227,5402
Pennsylvania,19374,44.4,325,732
Puerto Rico,00901,2.0,136,6762
Rhode Island,02863,5.8,1312,22481
South Carolina,29145,31.7,203,641
South Dakota,57706,27.0,812,3009
Tennessee,38122,22.6,5717,25310
Texas,78067,100.0,719,719
Utah,84083,63.5,803,1264
Vermont,05874,10.2,67,655
Virginia,20184,57.9,292,504
Washington,98813,87.4,2827,3233
West Virginia,26562,23.0,191,830
Wisconsin,53215,51.8,30219,58375
Wyoming,82007,21.3,4652,21800
