group,total_employed,"Management, business, science, and arts",Service,Sales and office,"Natural resources, construction, and maintenance","Production, transportation, and material moving"
Total US population,167292666,43.5,16.5,19.1,8.3,12.6
"White alone, not Hispanic or Latino",95858520,48.4,13.5,19.6,7.7,10.7
"Black or African American alone, non-Hispanic",18668896,36.0,21.8,20.1,4.4,17.8
"Asian alone, not Hispanic or Latino",11424672,59.3,14.8,14.5,2.3,9.0
"AIAN alone, not Hispanic or Latino",711943,32.1,22.2,20.9,10.7,14.1
"NHPI alone, not Hispanic or Latino",278989,32.2,20.5,20.1,9.5,17.7
Hispanic or Latino (any race),32884864,28.1,22.6,18.5,14.3,16.4
Mexican,18644876,25.7,22.5,19.0,15.9,17.0
Puerto Rican,2742450,35.2,20.5,21.3,7.5,15.5
Cuban,1547320,35.3,18.4,18.5,10.5,17.3
Dominican,1185838,28.1,25.2,18.9,8.0,19.9
Costa Rican,111971,40.5,20.5,18.9,10.3,9.9
Guatemalan,1090253,15.9,30.0,12.7,24.7,16.7
Honduran,687688,16.2,27.0,11.9,29.0,15.9
Nicaraguan,331121,25.1,24.6,16.6,17.1,16.6
Panamanian,126105,47.8,15.8,19.7,5.3,11.5
Salvadoran,1438749,20.7,28.7,15.8,17.4,17.4
Argentinean,191802,51.2,15.7,17.9,7.5,7.6
Chilean,116917,50.2,19.0,13.3,8.1,9.3
Colombian,977609,38.7,21.8,18.6,7.9,13.0
Ecuadorian,545645,28.2,24.5,16.5,15.7,15.1
Peruvian,456736,36.7,23.8,18.1,7.6,13.7
Venezuelan,667080,30.6,21.6,17.1,12.2,18.5
Spaniard,481576,50.5,15.4,18.2,6.8,9.1
Brazilian,327240,37.0,25.5,14.9,13.6,9.0
